assettreat,asset_comp,isrstock,palstock,tradestock6all,age,faminc,religion,female,BA_or_higher,left_2013,left_2015,p_index_2013,p_index_2015
1,1,1,0,1,35,12000,jewish,0,1,1,1,8.148495555,13.16657782
1,1,0,1,0,29,8000,jewish,0,1,0,0,-6.317464113,-5.590324998
1,1,0,1,1,27,16000,jewish,1,0,0,0,-3.99718076,-0.72821185
1,0,0,1,0,28,0,jewish,1,1,0,0,0.561344549,1.265808195
0,0,0,0,0,65,0,jewish,1,0,0,0,12.70702124,10.64883709
1,1,1,0,1,74,12000,jewish,0,0,1,0,0.561344549,-1.072461456
1,1,1,0,1,48,16000,jewish,0,0,0,1,15.35216928,15.69042206
1,1,0,0,0,33,8000,jewish,1,1,0,1,10.46877861,6.304342747
0,0,0,0,0,61,24000,jewish,0,1,0,1,3.124452233,10.8252573
1,1,0,0,0,37,12000,jewish,0,0,0,0,0.561344549,5.783672333
1,1,0,0,0,41,16000,no religion,0,1,0,1,17.67245293,8.651765585
1,1,1,0,1,57,8000,jewish,0,0,0,1,-1.735508889,-1.072461456
1,1,1,0,0,22,0,jewish,1,0,0,0,-3.695744872,-3.069532514
1,1,0,1,1,35,3000,jewish,0,1,0,1,5.526776314,6.130972505
1,1,0,1,1,41,12000,jewish,0,0,0,0,0.561344549,5.783672333
1,1,1,0,0,29,12000,jewish,1,0,0,0,-6.258852482,-10.10818958
1,1,0,1,1,35,12000,jewish,1,1,0,0,-10.89941859,-10.10818958
1,1,1,0,1,29,8000,jewish,0,1,0,0,-10.89941859,-7.766868472
0,0,0,0,0,34,12000,jewish,0,0,0,0,-3.938569427,-3.084227145
0,0,0,0,1,23,16000,jewish,0,0,0,0,-1.758938581,3.610179722
1,1,1,0,0,42,16000,other,1,0,0,0,-1.758938581,-0.72821185
1,0,0,1,0,58,8000,jewish,1,0,0,1,17.67245293,11.17560983
1,1,1,0,0,51,16000,jewish,0,1,0,0,-10.89941859,-10.10818958
1,1,0,1,1,35,16000,jewish,0,1,0,0,-10.89941859,-10.10818958
1,1,0,1,0,46,16000,jewish,0,0,0,0,-1.735508889,-3.416832983
1,1,0,1,1,38,16000,jewish,0,1,0,0,0.561344549,6.130972505
